22,117,5
22,22,0
22,11,2
102,40,3
102,82,1
102,81,5
44,98,1
44,93,1
44,22,1
128,67,4
128,89,3
128,111,2
49,2,3
49,130,0
49,58,1
69,40,1
69,79,1
69,60,0
96,92,0
96,90,3
96,124,3
116,59,3
116,92,3
116,26,2
145,95,3
145,112,4
145,2,0
82,6,2
82,99,4
82,27,0
132,25,0
132,56,2
132,98,3
49,119,1
49,21,2
49,76,4
130,72,5
130,24,5
130,34,3
49,12,2
49,10,5
49,16,5
141,33,2
141,108,1
141,93,4
89,1,4
89,11,0
89,28,5
136,81,1
136,100,3
136,130,4
23,107,1
23,124,5
23,126,4
108,102,2
108,16,0
108,69,2
136,35,2
136,97,5
136,75,5
123,64,0
123,123,2
123,124,4
109,8,4
109,131,0
109,60,1
50,19,5
50,11,3
50,70,4
90,65,0
90,70,1
90,98,2
104,111,4
104,57,5
104,39,1
148,108,1
148,108,1
148,49,2
91,94,3
91,19,4
91,22,2
30,20,0
30,76,0
30,84,2
100,53,1
100,104,5
100,52,4
42,48,0
42,62,5
42,89,4
110,37,0
110,40,1
110,9,5
79,118,3
79,128,5
79,114,0
31,83,4
31,97,3
31,71,5
76,3,4
76,7,5
76,109,2
143,13,3
143,45,2
143,64,5
135,75,2
135,123,2
135,83,4
110,1,1
110,126,3
110,23,3
82,18,1
82,120,3
82,53,0
116,13,3
116,95,5
116,129,3
116,48,3
116,88,5
116,108,1
72,34,2
72,62,2
72,54,4
48,76,2
48,56,5
48,25,1
107,99,0
107,8,1
107,28,2
98,121,0
98,25,2
98,30,1
93,103,1
93,22,4
93,103,3
24,66,2
24,114,3
24,38,2
44,4,3
44,25,0
44,91,2
10,72,0
10,41,2
10,106,3
8,79,5
8,129,3
8,121,4
101,72,2
101,89,1
101,62,4
93,83,1
93,5,5
93,8,3
147,125,2
147,2,2
147,106,3
1,3,1
1,5,5
1,79,3
14,83,5
14,66,0
14,54,2
6,80,2
6,67,0
6,20,3
75,104,5
75,107,3
75,109,4
31,82,1
31,87,1
31,130,0
128,11,4
128,130,0
128,13,3
145,118,2
145,43,4
145,57,5
19,43,3
19,46,4
19,54,0
64,130,1
64,82,4
64,97,1
51,50,3
51,101,0
51,37,0
136,45,3
136,44,2
136,125,4
14,36,0
14,22,3
14,77,2
52,114,0
52,128,2
52,1,0
114,97,5
114,94,4
114,53,3
108,105,1
108,8,5
108,129,0
29,60,5
29,20,0
29,16,1
118,52,0
118,103,1
118,87,4
83,123,0
83,19,4
83,99,0
134,34,5
134,7,5
134,108,5
37,1,1
37,96,3
37,128,3
95,118,1
95,97,0
95,13,1
98,119,2
98,12,2
98,120,5
14,130,4
14,20,4
14,7,3
104,98,1
104,46,1
104,103,4
1,19,1
1,84,3
1,73,1
61,28,4
61,1,5
61,17,5
129,11,5
129,121,5
129,34,3
86,131,0
86,123,4
86,47,2
14,93,3
14,70,4
14,57,4
73,28,1
73,130,0
73,115,0
19,110,3
19,93,1
19,97,3
86,82,1
86,0,1
86,117,2
103,104,2
103,100,0
103,26,0
148,14,2
148,124,1
148,62,5
40,71,2
40,90,3
40,82,0
107,110,1
107,45,4
107,98,1
82,63,1
82,53,2
82,41,3
141,18,3
141,74,2
141,14,5
14,81,0
14,62,5
14,63,3
48,60,1
48,82,2
48,31,4
54,55,4
54,52,5
54,119,5
43,32,4
43,103,1
43,18,4
126,90,2
126,98,4
126,44,3
12,24,2
12,101,2
12,124,1
96,94,1
96,12,4
96,62,3
80,115,1
80,76,3
80,115,0
80,53,1
80,62,0
80,11,2
57,92,4
57,117,0
57,54,3
147,30,0
147,122,3
147,121,2
130,78,4
130,28,3
130,80,4
35,115,3
35,1,0
35,120,3
29,52,1
29,32,0
29,84,5
145,98,0
145,121,5
145,13,2
18,111,0
18,35,0
18,29,3
83,96,2
83,68,0
83,58,2
91,19,5
91,92,2
91,67,5
8,97,0
8,113,4
8,86,0
70,52,3
70,117,0
70,69,2
35,113,5
35,99,2
35,24,4
116,51,0
116,69,0
116,94,4
145,7,4
145,37,1
145,20,2
34,70,1
34,88,0
34,28,3
0,74,5
0,72,1
0,30,2
134,88,3
134,32,4
134,45,1
25,110,1
25,116,0
25,8,1
31,0,3
31,24,3
31,25,0
86,107,0
86,64,0
86,131,4
145,35,5
145,70,0
145,104,1
76,21,3
76,13,4
76,119,0
59,74,2
59,19,3
59,39,1
65,70,5
65,91,3
65,50,0
26,17,0
26,55,0
26,7,1
123,41,1
123,78,4
123,24,5
124,0,2
124,2,0
124,28,5
108,96,0
108,92,2
108,15,4
118,13,2
118,16,2
118,28,5
130,108,4
130,97,4
130,25,1
19,65,3
19,125,5
19,62,2
58,126,1
58,37,4
58,1,0
75,106,4
75,94,0
75,111,5
22,24,1
22,23,5
22,105,4
73,25,4
73,99,5
73,85,3
132,15,5
132,57,3
132,8,2
131,63,5
131,9,4
131,67,2
89,116,2
89,101,1
89,26,3
110,112,4
110,55,2
110,51,5
117,32,4
117,120,1
117,60,2
141,20,5
141,79,0
141,104,3
24,22,0
24,57,4
24,17,1
111,20,5
111,113,3
111,80,0
75,76,2
75,85,0
75,112,1
76,30,4
76,115,4
76,8,3
129,10,3
129,119,4
129,124,3
49,100,3
49,10,4
49,34,3
102,64,2
102,104,0
102,60,4
10,129,3
10,93,1
10,28,3
28,104,0
28,23,5
28,128,4
30,92,5
30,127,2
30,26,4
22,9,3
22,22,1
22,74,5
128,1,2
128,129,2
128,76,1
49,74,4
49,67,1
49,18,0
24,47,4
24,2,5
24,24,4
58,100,1
58,108,4
58,118,1
8,60,2
8,104,1
